x,y,z,psi,phi,theta,linear_vel_x,linear_vel_y,linear_vel_z,angular_vel_x,angular_vel_y,angular_vel_z,mode
-10.05,11.929,1.2104166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unicycle
-10.049999372799999,11.929,1.2104166666666665,0.0,0.0,0.0,3.136e-05,0.0,0.0,0.0,0.0,0.0,omni
-10.0499965265568,11.929,1.2104166666666665,0.0,0.0,0.0,0.00014231216,0.0,0.0,0.0,0.0,0.0,unicycle
-10.049989255374538,11.929,1.2104166666666665,0.0,0.0,0.0,0.00036355911296,0.0,0.0,0.0,0.0,0.0,omni
-10.049974998134925,11.929,1.2104166666666665,0.0,0.0,0.0,0.0007128619805177599,0.0,0.0,0.0,0.0,0.0,unicycle
-10.049951026650039,11.929,1.2104166666666665,0.0,0.0,0.0,0.0011985742441581462,0.0,0.0,0.0,0.0,0.0,omni
-10.049914579711722,11.929,1.2104166666666665,0.0,0.0,0.0,0.0018223469158887584,0.0,0.0,0.0,0.0,0.0,unicycle
-10.04986295602335,11.929,1.2104166666666665,0.0,0.0,0.0,0.0025811844186437115,0.0,0.0,0.0,0.0,0.0,omni
-10.049793576150396,11.929,1.2104166666666665,0.0,0.0,0.0,0.0034689936476658863,0.0,0.0,0.0,0.0,0.0,unicycle
-10.049704021368637,11.929,1.2104166666666665,0.0,0.0,0.0,0.004477739087786986,0.0,0.0,0.0,0.0,0.0,omni
-10.049592055504906,11.929,1.2104166666666665,0.0,0.0,0.0,0.005598293186441216,0.0,0.0,0.0,0.0,0.0,unicycle
-10.049455634459374,11.929,1.2104166666666665,0.0,0.0,0.0,0.006821052276433559,0.0,0.0,0.0,0.0,0.0,omni
-10.049292906993909,11.929,1.2104166666666665,0.0,0.0,0.0,0.008136373273193945,0.0,0.0,0.0,0.0,0.0,unicycle
-10.049102209506227,11.929,1.2104166666666665,0.0,0.0,0.0,0.009534874384003394,0.0,0.0,0.0,0.0,0.0,omni
-10.048882056835193,11.929,1.2104166666666665,0.0,0.0,0.0,0.011007633551825893,0.0,0.0,0.0,0.0,0.0,unicycle
-10.048631130618755,11.929,1.2104166666666665,0.0,0.0,0.0,0.012546310821835752,0.0,0.0,0.0,0.0,0.0,omni
-10.048348266321401,11.929,1.2104166666666665,0.0,0.0,0.0,0.014143214867762623,0.0,0.0,0.0,0.0,0.0,unicycle
-10.048032439736833,11.929,1.2104166666666665,0.0,0.0,0.0,0.01579132922831776,0.0,0.0,0.0,0.0,0.0,omni
-10.04768275353435,11.929,1.2104166666666665,0.0,0.0,0.0,0.017484310124295827,0.0,0.0,0.0,0.0,0.0,unicycle
