x,y,z
0.375296,9.740473,2.975000
1.390295,9.754259,2.975000
2.419211,8.743457,2.975000
3.434210,8.757243,2.975000
3.434210,8.757243,4.185000
4.449210,8.771029,4.185000
5.464209,8.784815,4.185000
