x,y,z,psi,phi,theta,linear_vel_x,linear_vel_y,linear_vel_z,angular_vel_x,angular_vel_y,angular_vel_z,mode
-9.802531171650784,11.651787448606777,1.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,omni
-9.802530544450782,11.651787448606777,1.765,0.0,0.0,0.0,3.136e-05,0.0,0.0,0.0,0.0,0.0,omni
-9.802527698207584,11.651787448606777,1.765,0.0,0.0,0.0,0.00014231216,0.0,0.0,0.0,0.0,0.0,omni
-9.802520427025321,11.651787448606777,1.765,0.0,0.0,0.0,0.00036355911296,0.0,0.0,0.0,0.0,0.0,omni
-9.802506169785708,11.651787448606777,1.765,0.0,0.0,0.0,0.0007128619805177599,0.0,0.0,0.0,0.0,0.0,omni
-9.802482198300822,11.651787448606777,1.765,0.0,0.0,0.0,0.0011985742441581462,0.0,0.0,0.0,0.0,0.0,omni
-9.802445751362505,11.651787448606777,1.765,0.0,0.0,0.0,0.0018223469158887584,0.0,0.0,0.0,0.0,0.0,omni
-9.802394127674134,11.651787448606777,1.765,0.0,0.0,0.0,0.0025811844186437115,0.0,0.0,0.0,0.0,0.0,omni
-9.80232474780118,11.651787448606777,1.765,0.0,0.0,0.0,0.0034689936476658863,0.0,0.0,0.0,0.0,0.0,omni
-9.80223519301942,11.651787448606777,1.765,0.0,0.0,0.0,0.004477739087786986,0.0,0.0,0.0,0.0,0.0,omni
-9.80212322715569,11.651787448606777,1.765,0.0,0.0,0.0,0.005598293186441216,0.0,0.0,0.0,0.0,0.0,omni
-9.801986806110158,11.651787448606777,1.765,0.0,0.0,0.0,0.006821052276433559,0.0,0.0,0.0,0.0,0.0,omni
-9.801824078644692,11.651787448606777,1.765,0.0,0.0,0.0,0.008136373273193945,0.0,0.0,0.0,0.0,0.0,omni
-9.80163338115701,11.651787448606777,1.765,0.0,0.0,0.0,0.009534874384003394,0.0,0.0,0.0,0.0,0.0,omni
-9.801413228485977,11.651787448606777,1.765,0.0,0.0,0.0,0.011007633551825893,0.0,0.0,0.0,0.0,0.0,omni
-9.801162302269539,11.651787448606777,1.765,0.0,0.0,0.0,0.012546310821835752,0.0,0.0,0.0,0.0,0.0,omni
-9.800879437972185,11.651787448606777,1.765,0.0,0.0,0.0,0.014143214867762623,0.0,0.0,0.0,0.0,0.0,omni
